"day_of_week","month_of_year","start_time","end_time","period_type","pricing_type"
1,1,"00:00","06:59",Hiver,HC
1,1,"07:00","12:59",Hiver,HP
1,1,"13:00","15:59",Hiver,HC
1,1,"16:00","23:59",Hiver,HP
2,1,"00:00","06:59",Hiver,HC
2,1,"07:00","12:59",Hiver,HP
2,1,"13:00","15:59",Hiver,HC
2,1,"16:00","23:59",Hiver,HP
3,1,"00:00","06:59",Hiver,HC
3,1,"07:00","12:59",Hiver,HP
3,1,"13:00","15:59",Hiver,HC
3,1,"16:00","23:59",Hiver,HP
4,1,"00:00","06:59",Hiver,HC
4,1,"07:00","12:59",Hiver,HP
4,1,"13:00","15:59",Hiver,HC
4,1,"16:00","23:59",Hiver,HP
5,1,"00:00","06:59",Hiver,HC
5,1,"07:00","12:59",Hiver,HP
5,1,"13:00","15:59",Hiver,HC
5,1,"16:00","23:59",Hiver,HP
6,1,"00:00","23:59",Hiver,HC
0,1,"00:00","23:59",Hiver,HC
1,2,"00:00","06:59",Hiver,HC
1,2,"07:00","12:59",Hiver,HP
1,2,"13:00","15:59",Hiver,HC
1,2,"16:00","23:59",Hiver,HP
2,2,"00:00","06:59",Hiver,HC
2,2,"07:00","12:59",Hiver,HP
2,2,"13:00","15:59",Hiver,HC
2,2,"16:00","23:59",Hiver,HP
3,2,"00:00","06:59",Hiver,HC
3,2,"07:00","12:59",Hiver,HP
3,2,"13:00","15:59",Hiver,HC
3,2,"16:00","23:59",Hiver,HP
4,2,"00:00","06:59",Hiver,HC
4,2,"07:00","12:59",Hiver,HP
4,2,"13:00","15:59",Hiver,HC
4,2,"16:00","23:59",Hiver,HP
5,2,"00:00","06:59",Hiver,HC
5,2,"07:00","12:59",Hiver,HP
5,2,"13:00","15:59",Hiver,HC
5,2,"16:00","23:59",Hiver,HP
6,2,"00:00","23:59",Hiver,HC
0,2,"00:00","23:59",Hiver,HC
1,3,"00:00","06:59",Hiver,HC
1,3,"07:00","12:59",Hiver,HP
1,3,"13:00","15:59",Hiver,HC
1,3,"16:00","23:59",Hiver,HP
2,3,"00:00","06:59",Hiver,HC
2,3,"07:00","12:59",Hiver,HP
2,3,"13:00","15:59",Hiver,HC
2,3,"16:00","23:59",Hiver,HP
3,3,"00:00","06:59",Hiver,HC
3,3,"07:00","12:59",Hiver,HP
3,3,"13:00","15:59",Hiver,HC
3,3,"16:00","23:59",Hiver,HP
4,3,"00:00","06:59",Hiver,HC
4,3,"07:00","12:59",Hiver,HP
4,3,"13:00","15:59",Hiver,HC
4,3,"16:00","23:59",Hiver,HP
5,3,"00:00","06:59",Hiver,HC
5,3,"07:00","12:59",Hiver,HP
5,3,"13:00","15:59",Hiver,HC
5,3,"16:00","23:59",Hiver,HP
6,3,"00:00","23:59",Hiver,HC
0,3,"00:00","23:59",Hiver,HC
1,4,"00:00","10:59",Ete,HP
1,4,"11:00","16:59",Ete,HC
1,4,"17:00","23:59",Ete,HP
2,4,"00:00","10:59",Ete,HP
2,4,"11:00","16:59",Ete,HC
2,4,"17:00","23:59",Ete,HP
3,4,"00:00","10:59",Ete,HP
3,4,"11:00","16:59",Ete,HC
3,4,"17:00","23:59",Ete,HP
4,4,"00:00","10:59",Ete,HP
4,4,"11:00","16:59",Ete,HC
4,4,"17:00","23:59",Ete,HP
5,4,"00:00","10:59",Ete,HP
5,4,"11:00","16:59",Ete,HC
5,4,"17:00","23:59",Ete,HP
6,4,"00:00","23:59",Ete,HC
0,4,"00:00","23:59",Ete,HC
1,5,"00:00","10:59",Ete,HP
1,5,"11:00","16:59",Ete,HC
1,5,"17:00","23:59",Ete,HP
2,5,"00:00","10:59",Ete,HP
2,5,"11:00","16:59",Ete,HC
2,5,"17:00","23:59",Ete,HP
3,5,"00:00","10:59",Ete,HP
3,5,"11:00","16:59",Ete,HC
3,5,"17:00","23:59",Ete,HP
4,5,"00:00","10:59",Ete,HP
4,5,"11:00","16:59",Ete,HC
4,5,"17:00","23:59",Ete,HP
5,5,"00:00","10:59",Ete,HP
5,5,"11:00","16:59",Ete,HC
5,5,"17:00","23:59",Ete,HP
6,5,"00:00","23:59",Ete,HC
0,5,"00:00","23:59",Ete,HC
1,6,"00:00","10:59",Ete,HP
1,6,"11:00","16:59",Ete,HC
1,6,"17:00","23:59",Ete,HP
2,6,"00:00","10:59",Ete,HP
2,6,"11:00","16:59",Ete,HC
2,6,"17:00","23:59",Ete,HP
3,6,"00:00","10:59",Ete,HP
3,6,"11:00","16:59",Ete,HC
3,6,"17:00","23:59",Ete,HP
4,6,"00:00","10:59",Ete,HP
4,6,"11:00","16:59",Ete,HC
4,6,"17:00","23:59",Ete,HP
5,6,"00:00","10:59",Ete,HP
5,6,"11:00","16:59",Ete,HC
5,6,"17:00","23:59",Ete,HP
6,6,"00:00","23:59",Ete,HC
0,6,"00:00","23:59",Ete,HC
1,7,"00:00","10:59",Ete,HP
1,7,"11:00","16:59",Ete,HC
1,7,"17:00","23:59",Ete,HP
2,7,"00:00","10:59",Ete,HP
2,7,"11:00","16:59",Ete,HC
2,7,"17:00","23:59",Ete,HP
3,7,"00:00","10:59",Ete,HP
3,7,"11:00","16:59",Ete,HC
3,7,"17:00","23:59",Ete,HP
4,7,"00:00","10:59",Ete,HP
4,7,"11:00","16:59",Ete,HC
4,7,"17:00","23:59",Ete,HP
5,7,"00:00","10:59",Ete,HP
5,7,"11:00","16:59",Ete,HC
5,7,"17:00","23:59",Ete,HP
6,7,"00:00","23:59",Ete,HC
0,7,"00:00","23:59",Ete,HC
1,8,"00:00","10:59",Ete,HP
1,8,"11:00","16:59",Ete,HC
1,8,"17:00","23:59",Ete,HP
2,8,"00:00","10:59",Ete,HP
2,8,"11:00","16:59",Ete,HC
2,8,"17:00","23:59",Ete,HP
3,8,"00:00","10:59",Ete,HP
3,8,"11:00","16:59",Ete,HC
3,8,"17:00","23:59",Ete,HP
